127.0.0.1 - - [12/Sep/2017:21:52:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:17 +0530] "GET /CabBooking/1.%20login_page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:17 +0530] "GET /CabBooking/1.%20zlogin_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:17 +0530] "GET /CabBooking/1.%20zanimate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:17 +0530] "GET /CabBooking/1.%20zlogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:32 +0530] "GET /CabBooking/1.%20login_page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:32 +0530] "GET /CabBooking/1.%20zlogin_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:32 +0530] "GET /CabBooking/1.%20zanimate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:32 +0530] "GET /CabBooking/1.%20zlogin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:41 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:41 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:52:41 +0530] "GET /CabBooking/2.%20zsyle42.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:54:18 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 412 1005
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:54:23 +0530] "POST /CabBooking/checkLogin HTTP/1.1" 200 4560
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:54:23 +0530] "GET /CabBooking/bootstrap/css/bootstrap.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Sep/2017:21:56:29 +0530] "GET /CabBooking/3.%20price_page.html HTTP/1.1" 404 1056
